$Random_Pre_Seed
 [1] 38 37 30 37 37 36 42 37 36 32 37 39 37 40 40 40 37 38 35 38 36 36 35 37 28 25 39 37 35
[30] 34 48 42 36 37 38 32 47 37 38 34 41 39 42 14 38 32 37 35 35 39 37 56 35 38 37 30 37 38
[59] 38 37 37 38 35 37 38 35 42 37 48 40 37 32 35 35 42 39 36 37 36 36

$Random_Post_Seed
  [1] 39 35 48 38 39 37 39 34 25 36 35 39 40 39 35 36 41 37 40 36 40 36 42 39 38 40 37 38 35
 [30] 36 40 15 39 40 36 35 38 42 37 37 37 39 40 37 40 39 35 35 35 56 40 37 38 37 39 39 40 27
 [59] 40 36 38 37 42 38 39 33 42 34 36 37 39 37 29 38 38 34 34 36 38 38 38 36 28 38 40 38 25
 [88] 35 36 39 38 33 37 36 38 42 37 35 41 40 38 34 34 37 40 38 39 14 37 35 35 38 37 38 38 48
[117] 34 38 34 34 39 38 37 38 39 35 35 34 36 38 42 36 37 35 35 38 37 37 37 37 42 32 36 38 37
[146] 39 35 35 40 41 37 35 40 37 38 36 42 39 37 30 38 38 42 37 32 35 40 36 24 39 37 37 39 36
[175] 35 37 39 38 39 37 37 48 36 36 56 36 38 42 42 38 36 35 35 48 36 39 27 35 37 36

$Normal_Temps
  [1] 36.94232 39.98059 46.90081 36.86709 44.06722 43.07050 38.61224 44.00517 35.29569
 [10] 32.00506 28.94211 42.33827 27.70104 31.83905 44.50144 41.11732 39.51667 31.88979
 [19] 49.02348 32.49986 32.66400 40.15931 37.75131 35.28972 32.08785 31.40325 34.52182
 [28] 30.47930 37.24574 39.58490 30.27195 40.96562 41.17245 37.79375 29.95056 39.62161
 [37] 38.04623 33.57691 36.69039 36.05543 44.75643 35.63895 37.47736 34.27256 34.99946
 [46] 38.52747 36.09546 35.02580 32.75019 35.92292 39.99913 31.64370 45.04627 37.06936
 [55] 38.06692 43.18534 37.33594 40.85377 29.57874 39.32070 48.25506 38.96564 38.13499
 [64] 29.07442 33.10739 36.95619 35.36641 42.21806 40.81310 37.51593 43.66072 38.84410
 [73] 36.41253 34.93444 39.59986 34.92117 40.68519 38.51765 43.02040 40.73711 40.97101
 [82] 35.19608 35.18177 37.23436 30.76781 34.36763 38.26144 41.89675 40.88396 37.64439
 [91] 29.40456 40.05369 37.60822 36.83266 41.60047 33.34156 35.91877 46.39331 34.44663
[100] 38.58307 40.12082 29.49160 27.65163 37.48259 41.04668 26.95825 36.50494 35.97586
[109] 45.16681 40.17424 36.24123 37.22935 44.01928 37.51983 37.52494 33.69842 37.91809
[118] 38.35871 41.14911 35.08757 40.55840 34.31197 39.97528 38.28289 34.05170 34.64361
[127] 36.00882 32.42861 36.70045 40.61519 49.43221 36.80054 39.60006 40.53380 33.56720
[136] 41.64137 39.20962 30.77627 35.99137 40.03817 35.32343 35.12466 33.63938 32.00632
[145] 40.34655 42.83025 36.53635 34.87726 43.79074 36.44963 37.36108 39.33002 31.91001
[154] 34.21455 34.34359 34.04328 39.74855 27.74775 38.33902 42.29277 37.24100 35.78421
[163] 32.90905 39.28708 30.42108 37.90792 33.28974 44.28344 40.05972 38.76936 37.63181
[172] 34.16238 41.51184 40.54722 35.26426 33.98991 36.32562 38.95895 32.81246 37.99472
[181] 27.58165 34.39571 33.76009 39.24646 39.50510 37.21869 35.20965 42.52638 36.65093
[190] 37.34547 42.50548 38.70953 35.70688 44.62933 33.07920 36.78326 43.06533 44.89669
[199] 46.82316 35.76640

